round_index,incoming_count,incoming_body_bytes,resident_bytes,reduction_ppm,retention_ppm,cumulative_loss,release_ppm
1,1,3072,12953,116499,883500,1,1000000
2,2,6144,14645,233125,766874,3,1000000
3,3,9216,16678,301035,698964,6,1000000
4,4,12288,19054,342194,657805,10,1000000
5,1,4096,20405,118574,881425,11,1000000
6,2,8192,22097,227296,772703,13,1000000
7,3,12288,24131,298211,701788,16,1000000
8,4,16384,26506,345773,654226,20,1000000
9,1,5120,27857,119174,880825,21,1000000
10,2,10240,29557,224164,775835,23,1000000
11,3,15360,31595,296591,703408,26,1000000
12,4,20480,33974,347594,652405,30,1000000
