scenario_code,trial,status_code,baseline_status_code,execution_path,ordinary_provider_runtime_reorganization_wired,e2e_summary_status,input_sha256,snapshot_sha256,ledger_sha256,pointer_before,pointer_after,ledger_record_count,retained_record_count,approximate_record_count,released_record_count,non_summary_released_record_count,required_record_count,failure_codes
UPD-01,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,d55ba040a5c3801d114ca3c9a5fb176e1b3e62655f233331b913e060fb3f89b2,2d83a0f956e7224e5f2a25f0e6da3380ab8fbaf3d5fd7d8a6465a5b5a6c60772,07c414fb26a9e2acc9e73d32e0158c6c4ceb650ee1463b52234e0f9548e19bb8,1,2,8,6,0,2,0,4,
UPD-01,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,d55ba040a5c3801d114ca3c9a5fb176e1b3e62655f233331b913e060fb3f89b2,e4a722a0b09be383e1bf70b778d94a1190bd19ab24d241fd68e9241c244cec6d,08d8acea510f81edd5fcef3fe2c2e2eb4248e967913becea0106b198df445818,1,2,8,6,0,2,0,4,
UPD-01,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,d55ba040a5c3801d114ca3c9a5fb176e1b3e62655f233331b913e060fb3f89b2,df5d0ccf5390e0dc5042bba3573fea08ed307a067050b118de0c64bbf0b94369,f3f475004cdcb77411ccc73951f967370e61dffbf74422d65b6fbf01bd092da9,1,2,8,6,0,2,0,4,
UPD-02,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,728b27cbe0c3f9719ea460e6bfda6f162e4b0a87d67bff7e11eb5aa2e78b6ecf,fa00463fb563f8726cd3a4e8cdf2bd6a03e6f1b2f51c0b1d365c855998c13f6b,72c43775d0f8d6d548fa9cc762c9b3e69eff6a9b3e8357e9d903890ff0a98bc6,1,2,8,6,0,2,0,4,
UPD-02,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,728b27cbe0c3f9719ea460e6bfda6f162e4b0a87d67bff7e11eb5aa2e78b6ecf,4e57633ee4404c77bfcc13a5dd3341d17fa5398a5d65f4b3092fcbd32c0bb848,7e9fb88f76f53c50c746c8cba4a02785841e51c3321cfa92ce00a5c70fb712ec,1,2,8,6,0,2,0,4,
UPD-02,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,728b27cbe0c3f9719ea460e6bfda6f162e4b0a87d67bff7e11eb5aa2e78b6ecf,723aa5046c90112fe83566c39c6604bf864de020fa4bd83f949d17a95b5d8ae9,287db8e9815013c051619c41b0a455e5b130faf79e0161e7ab0c3a121cc4baa4,1,2,8,6,0,2,0,4,
UPD-03,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,187e3e4705103925d60990cf54614384e587889920a147bcd95afccf4381151d,9b8bdfc59d388af9fc156790cd66c739069c75043982bef836be94071cb7d396,683dbd5db2983cf55dc6919166102d3cbae415d5c78d5e4272d96c02ef3bca2f,1,2,8,6,0,2,0,4,
UPD-03,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,187e3e4705103925d60990cf54614384e587889920a147bcd95afccf4381151d,dbcc3d569cd2820b260fe24f2008a1c01f59780c9829e7cc4dade5a9155b2f2e,d213366ae05907fe4a6b2e83cbcc27d73832a988f73df80390018f30a1c7350a,1,2,8,6,0,2,0,4,
UPD-03,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,187e3e4705103925d60990cf54614384e587889920a147bcd95afccf4381151d,759c90b56343cfd3a3474d46b591f44cac6e1149a7e6ddb95a7045972549bbce,02ab4a1751f62e001fbecfab35441092bf6a4774af45ffb75e61ea5033f48fd4,1,2,8,6,0,2,0,4,
UPD-04,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,2ad0f9a53f9ff0faa4ee7485854dd708b79765624f01f5ccf36530a58c50e458,86c19db3758b4f1497e70cbf70dd70041825d7358d0f95d5ee88dec23ba4f8a2,560878202ea3607b4432a2d9f166d1869cf7dd854213f55c82b080e1ffabfc05,1,2,8,6,0,2,0,4,
